121.3,115.74,122.55,121.78,83.168,83.936,88.525,122.06,105.22,121.72,92.437,120.79,121.47,121.08,121.28,122.01,121.46,121.75,122.03,122.57,121.8,122.63,121.33,122.62,121.81,117.75,122.41,121.77,119.92,104.07,107.4,121.9,121.68,121.91,112.77,121.64,122.13,122.01,122.3,121.52,122.17,121.93,121.86,121.96,122,121.76,120.31,121.93,121.95,97.008,121.77,121.8,122.34,121.96,122.18,122.32,121.37,121.7,111.18,116.57,113.08,120.05,120.06,120.12,119.97,122.3,118.28
242.6,231.49,245.09,243.55,166.34,167.87,177.05,244.11,210.44,243.43,184.87,241.57,242.94,242.17,242.56,244.02,242.92,243.5,244.07,245.14,243.6,245.27,242.66,245.25,243.63,235.49,244.81,243.55,239.83,208.15,214.8,243.8,243.36,243.82,225.54,243.27,244.26,244.01,244.6,243.04,244.33,243.86,243.71,243.92,243.99,243.52,240.61,243.87,243.91,194.02,243.55,243.6,244.67,243.91,244.36,244.64,242.75,243.4,222.36,233.13,226.17,240.1,240.11,240.23,239.94,244.59,236.55
485.21,462.98,490.18,487.1,332.67,335.75,354.1,488.22,420.89,486.87,369.75,483.15,485.88,484.33,485.12,488.04,485.83,487,488.13,490.27,487.21,490.54,485.32,490.5,487.25,470.98,489.62,487.1,479.66,416.29,429.61,487.6,486.72,487.64,451.07,486.55,488.52,488.02,489.2,486.08,488.66,487.73,487.43,487.84,487.98,487.04,481.23,487.73,487.82,388.03,487.1,487.19,489.34,487.82,488.73,489.28,485.5,486.8,444.72,466.27,452.34,480.2,480.23,480.46,479.88,489.19,473.1
230.71,220.99,225.8,229.96,159.19,161.13,167.32,227.85,192.92,230.32,176.78,229.81,230.19,229.5,230.22,229.14,229.96,229.71,228.15,224.51,229.84,224.84,229.02,224.31,229.8,225.34,226.87,229.61,228.95,199.47,206.04,229.84,230.91,229.7,215.53,229.76,228.2,228.17,226.97,230.42,227.37,228.8,229.98,228.12,229.16,230.19,228.85,228.47,228.38,185.62,229.86,229.89,226.77,230.06,228.04,226.71,230.61,230.76,212.47,222.89,216.68,228.86,228.89,228.98,229.5,227.36,225.64
103.97,99.21,105.04,104.38,71.286,71.945,75.879,104.62,90.19,104.33,79.231,103.53,104.12,103.79,103.96,104.58,104.11,104.36,104.6,105.06,104.4,105.12,104,105.11,104.41,100.92,104.92,104.38,102.79,89.205,92.059,104.48,104.3,104.49,96.658,104.26,104.68,104.58,104.83,104.16,104.71,104.51,104.45,104.54,104.57,104.36,103.12,104.51,104.53,83.149,104.38,104.4,104.86,104.53,104.73,104.84,104.04,104.31,95.296,99.914,96.929,102.9,102.91,102.96,102.83,104.83,101.38
47.912,44.311,57.605,50.914,31.586,31.816,36.778,52.274,50.784,49.946,35.126,47.96,48.506,47.783,48.086,52.302,48.632,50.312,52.536,57.654,50.578,59.821,47.982,57.695,50.685,45.349,56.895,50.876,46.505,39.391,40.721,50.777,49.526,51.567,42.854,49.359,53.706,52.527,55.61,48.699,53.88,52.254,50.653,52.316,52.163,49.75,47.055,51.291,52.096,36.813,50.826,50.375,56.53,52.155,54.608,54.949,48.481,49.82,42.365,44.524,43.13,46.723,46.473,46.902,46.236,55.433,45.458
225.06,216.25,217.22,223.7,155.91,157.94,162.85,220.92,185.13,224.16,173.17,224.4,224.46,224.09,224.7,222.34,224.13,223.45,221.04,215.38,223.42,215.52,223.24,215.36,223.65,220.76,218.53,223.08,223.93,195.3,201.86,223.31,225.02,223.1,210.89,223.77,220.87,221.11,219.01,224.71,219.99,222,223.71,221.02,222.39,224.19,223.58,221.85,221.41,181.82,223.74,223.53,218.39,223.4,220.46,218.85,225.09,224.86,208.09,218.27,212.42,223.65,223.73,223.84,224.62,219.25,220.75
306.23,307.7,302.94,305.35,283.58,284.78,277.06,304.98,286.5,305.57,289.12,306.78,305.79,306.06,306.04,304.63,306.58,305.38,304.33,301.88,305.62,302.34,305.48,302.1,305.89,306.03,303.47,305.01,305.79,297.43,298.97,305.28,305.96,305.21,301.49,305.64,304.11,304.17,303.43,305.85,304.83,304.82,305.25,304.35,304.78,306.42,306.75,304.53,305.79,292.48,306.58,305.85,303.63,305.33,304.88,303.41,305.98,306.08,301.5,304.55,302.64,305.94,305.36,306.25,306.1,304.06,305.35
182.95,115.38,152.93,131.38,125.71,32.711,431.55,194.39,361.07,128.25,120.22,163.36,110.93,189.66,186.83,200.02,-35.327,198.59,148.06,284.68,201.99,198.31,186.08,137.76,187.51,123.7,124.43,145.41,140.02,54.528,158.94,182.48,122.53,186.87,134.72,188.83,188.87,178.2,213.96,185.84,186.19,144.7,134.94,162.7,134.8,-42.113,-40.848,161.4,109.48,-35.216,120.08,186.86,207.3,204.75,202.27,198.77,192.11,105.26,98.6,177.8,156.87,151.53,195,188.06,131.49,105.84,177.39
63.255,60.648,65.046,64.153,43.543,43.926,46.619,64.555,55.974,63.79,48.441,63.442,63.712,63.788,63.747,64.25,63.672,63.966,64.284,64.722,63.857,65.151,63.696,65.023,64.245,61.882,64.754,63.895,62.89,54.22,56.119,63.733,63.789,64.047,58.907,64.031,64.441,64.251,64.774,63.826,64.589,64.277,64.044,64.256,64.397,64.022,63.143,64.445,64.095,50.761,64.301,63.829,64.515,63.976,64.386,64.793,63.788,63.999,58.369,61.148,59.479,62.904,62.768,62.976,62.883,64.217,62.037
