LINE,LOC,enzy1,enzy2,enzy3,enzy4,enzy5,enzy6,enzy7,enzy8
12,2,143.97,489.54,818.874,74373.68,650.61,355.778,566.176,4591.944
13,2,197.132,504.85,913.894,56803.404,722.14,351.216,676.698,8111.738
14,2,193.184,411.776,1191.378,80017.986,888.43,620.432,860.942,6809.845
15,2,184.998,539.7266667,900.1706667,75190.68133,741.27,502.3546667,816.472,7076.668667
16,2,168.752,600,1062.61,64657.77,715.9425,423.636,602.098,5089.634
17,2,151.6,555.408,877.62,64799.438,704.392,379.408,590.632,5165.3
18,2,178.39,599.2,1063.872,74060.24,882.596,437.6975,650.882,5680.426667
19,2,141.672,687.414,1060.262,73107.856,690.504,391.618,672.518,3790.426
20,2,162.34,541.748,1060.454,60266.678,850.246,451.248,701.644,5940.086
21,2,195.46,600.894,1064.604,95374.594,640.756,561.625,604.79,5556.976
22,2,167.978,552.548,912.516,67484.76,813.584,400.978,816.276,5942.456
23,2,187.186,740.856,1007.126,78754.6,883.112,388.382,644.422,6880.958
24,2,151.562,653.444,1065.62,82097.528,788.37,456.8475,883.66,6300.164
25,2,131.122,598.328,942.184,72159.912,644.95,481.2,538.436,7286.678
26,2,178.268,533.102,889.956,78475.38,701.856,431.912,774,6226.8625
27,2,70.98,799.714,983.912,79078.072,694.2566667,460.348,605.264,5835.91
28,2,172.34,592.478,887.666,68815.112,684.412,402.936,659.85,5302.395
29,2,180.662,465.412,961.974,58519.538,509.764,355.316,644.858,6791.36
30,2,177.264,480.706,904.628,64329.658,715.9,384.532,719.88,7449.23
31,2,162.304,317.96,642.56,53897.258,832.05,334.244,670.5766667,7350.533333
32,2,181.094,567.254,735.008,60754.526,723.11,371.78,663.29,6558.156
33,2,220.828,384.052,901.694,65627.816,557.466,327.804,632.144,6981.118
34,2,116.692,410.378,774.33,54410.426,555.65,387.735,646.174,4258.394
35,2,147.894,513.684,718.552,68277.002,681.064,329.855,641.264,5443.888
