"line","FW"
1,0.571319255993368
2,0.585440104838787
3,0.52121901126792
4,0.553592283002135
5,0.500909731248872
6,0.629718503272305
7,0.474836748897418
8,0.690051882963949
9,0.58004449445269
10,0.647190570176748
11,0.455144805535769
12,0.711782817669723
13,0.462078861890462
14,0.602383792362287
15,0.558305807643977
16,0.696202705242329
17,0.737720753526837
18,0.709242674739207
19,0.510541774951496
20,0.847421299926461
21,0.725857695783732
22,0.626153152660176
23,0.573088478979273
24,0.594754765140421
25,0.57790313359187
26,0.713816559892675
27,0.580411115743764
28,0.611821037208143
29,0.572128860261112
30,0.621027845175536
31,0.576662144587908
32,0.620685426355514
33,0.565222702220551
34,0.657102548837094
35,0.519411368979033
36,0.669252918721682
37,0.572451407139873
38,0.631599483037744
39,0.60472799548991
40,0.608218044291281
41,0.683919624060167
42,0.514408548739455
43,0.608341267286903
44,0.563258509861727
45,0.55867911337508
46,0.62323700789584
47,0.715552925156551
48,0.567160270428362
49,0.758859629147633
50,0.55721178453837
51,0.549896097834363
52,0.551346869110818
53,0.656814944057453
54,0.639898790139204
55,0.662960205210481
56,0.633018260867219
57,0.59007139692526
58,0.520867889136477
59,0.49226392985711
60,0.666014380015346
61,0.630134321653959
62,0.518788505947326
63,0.677533663249564
64,0.556988935571985
65,0.507489686754733
66,0.57201963172967
67,0.643660707642305
