nr_vmax,431.126,400.8225,321.082,416.052,399.54,465.044,270.276,405.614,418.056,425.6925,423.176,440.424,440.196,406.062,440.612,498.924,333.334,516.07,426.084,344.494,455.79,329.15,425.038,448.785,432.8675,378.958,338.66,451.736,440.4825,411.256,386.952,399.35,490.584,304.532,376.788,437.336,495.63,417.732,413.702,440.782,479.924,374.82,412.616,346.5825,418.63,446.116,463.966,447.446,440.588,403.966,699.228,168.388,402.782,294.272,321.636,383.206,480.136,488.114,363.1025,533.282,430.784,425.44,466.414,368.546,358.82,372.192,555.964
agpase,599.41,573.835,416.224,656.576,596.156,580.14,493.486,602.878,539.61,469.7925,414.144,483.622,527.188,487.384,556.579,623.472,469.71,657.82,506.826,451.736,432.8,564.878,616.07,608.3725,506.7725,593.158,599.304,550.28,528.59,540.054,457.308,674.7875,613.69,496.056,493.392,550.3875,552.455,565.16,551.846,512.062,529.18,531.776,451.262,527.8925,666.474,455.894,528.084,698.97,516.672,518.35,986.166,449.66,501.244,469.546,409.865,487.8,574.726,651.134,586.7525,596.836,391.556,434.93,581.578,674.1,552.768,530.2325,720.462
gs,1126.526,1113.0525,872.076,685.356,1092.036,1255.9,1043.256,987.682,1157.936,1170.24,970.15,1081.382,1090.606,1014.352,1132.473,1269.18,1131.594,1122.555,1119.278,861.338,962.796,1023.436,1031.534,1362.84,1040.49,1161.28,1017.636,1026.22,1049.9525,1019.406,1019.662,1241.5675,1239.006,952.312,1175.944,1204.544,1272.4425,1054.68,1091.934,1002.94,1045.222,1078.592,1296.154,1105.16,1051.816,1171.446,1031.894,1253.482,1049.248,1125.694,1478.05,887.234,941.156,825.766,716.476,1043.73,1124.86,1179.784,869.225,1155.712,1091.036,1021.2375,1177.976,1107.09,1139.804,955.082,1317.702
nadmdh,56024.6,58713.7375,53101.896,53537.594,61303.18,64801.32,58373.918,52860.528,60138.504,64461.835,57033.772,65926.522,55413.246,71905.474,52350.87,70382.528,61076.42,60027.16,61804.012,49786.93,55207.22,46441.204,60391.836,59226.02,53373.4725,51787.96,57671.154,62033.206,53176.9975,53651.132,55861.348,56235.34,59973.612,44351.634,67065.56,66287.634,53440.5325,54119.514,55885.01,52937.384,58829.62,55148.56,52992.658,60228.295,59703.396,59974.096,56032.098,62558.46,54442.73,59552.95,76081.61,48344.676,49634.388,48703.394,42353.714,55173.13,63676.514,56586.376,57545.43,67303.254,52046.204,62649.0725,64286.846,55085.432,51339.35,58730.308,67328.434
gogat,1210.816667,967.69,741.946,942.86,1081.948,1117.24,959.276,843.314,1034.39,1690.363333,852.612,750.932,964.006,1238.26,1034.69875,1025.978,782.0775,847.6475,1316.455,824.596,834.646,848.0975,1087.78,909.835,840.5225,869.6575,782.57,765.046,822.1625,1234.004,784.952,1268.815,1108.225,680.354,1090.09,1118.8075,940.9825,929.262,1234.412,1026.796,1016.5725,925.034,1295.3575,803.2025,1069.142,601.576,1061.834,1173.652,867.342,713.286,1348.5375,877.41,829.32,955.105,932.646,915.188,1245.114,850.346,915.805,945.314,874.375,887.79,898.214,1179.715,1473.605,1141.142,1320.844
pepcx,607.386,514.9025,414.002,562.902,525.192,574.244,426.034,524.07,602.374,532.8075,424.254,524.968,562.958,495.458,550.566,626.906,513.564,650.72,589.73,467.556,598.778,461.646,454.636,599.775,448.9925,574.01,546.972,493.694,556.135,548.63,475.27,443.8425,556.764,549.66,510.944,447.038,561.6425,494.806,567.082,502.418,595.69,526.092,547.578,494.955,592.762,615.47,638.382,678.56,636.45,551.732,771.926,479.356,417.492,494.118,463.042,522.13,754.178,504.726,488.245,587.742,515.07,459.465,603.284,492.582,486.432,415.55,811.512
nadgldh,349.08,323.4425,319.518,320.498,312.644,332.906,330.472,350.032,381.544,358.95,298.274,353.666,302.138,273.648,346.052,284.914,352.176,323.735,296.78,301.49,296.03,341.678,369.31,413.3675,268.245,409.34,298.518,320.442,302.1175,287.3,362.73,336.6075,305.194,327.024,288.904,287.376,310.66,310.634,343.724,271.112,291.522,287.488,409.154,233.97,256.918,301.93,376.058,346.348,334.31,319.164,444.874,330.652,245.06,281.278,337.752,281.442,320.874,325.316,408.99,348.896,287.076,293.49,302.38,305.256,277.632,351.418,377.518
fumarase,5112.2775,5566.775,6963.223333,4224.4375,3739.706667,4903.17,3817.404,5021.774,6124.3125,7154.79,3994.795,5269.586667,6905.2475,4052.4925,10478.22714,7828.6475,4993.626,4486.345,5822.83,4492.36,10726.09,6324.41,7509.71,4975.023333,4300.095,6680.063333,5206.4375,5342.9175,3930.185,6530.195,5620.095,5131.493333,5747.158,6188.168,7058.788,7415.895,4074.523333,6159.61,5538.546,3642.6625,3698.1525,4079.716,4783.4775,5320.6575,4994.1525,10586.86,8748.7525,5525.59,4631.8475,4605.45,11970.688,5781.6325,3073.258,5004.075,5406.723333,2203.48,3364.13,5597.445,4929.33,4296.646,5147.54,5012.413333,1434.166,8000.37,2597.53,6590.0225,4551.45
