starch,46.201781477,51.1278286673,37.5368890541,44.7804126113,54.9852760641,56.944965815,44.9273038943,53.5098361986,44.4057156822,53.657564954,46.3497728286,61.5947425615,48.2587189953,52.3881438792,51.8956336715,59.867573069,49.9893239728,55.8262647817,44.4494520549,49.1421702803,54.8566563513,44.3249615382,49.5596203155,45.4883509294,46.540918166,59.0875566752,56.9263657905,47.1453326243,56.5834659172,57.6040717384,51.2315391884,40.357940678,51.977254804,56.2817582581,43.4551652486,46.1090096924,64.6769561726,55.3152071224,49.1768533488,54.1253301195,48.6386057599,45.9333522188,42.5647151169,38.4930134432,54.0576840175,48.4830371918,53.065528433,52.5855071789,42.0408713489,44.7482968788,50.2469306318,47.4695055228,45.1493428355,48.321836825,49.9834869594,57.1938177313,53.4343655886,47.8197600065,47.8871934579,67.611911488,44.6327906041,49.3948351064,54.822698936,57.3065451651,47.3139252225,43.713323199,57.9557272985
prot,18.8180517707,20.3345260247,18.4952903914,23.3297011092,23.0994755527,25.7995513092,20.8557876035,20.9069078306,23.9047496283,22.0161774105,20.3257775855,23.3632194457,20.9151238582,23.10856262,21.4534711676,24.6266372263,22.752588635,22.6010436413,21.8707393757,22.6671387008,22.8296761336,18.9238682703,22.0674691397,24.0674673138,19.1108603803,24.1786179807,25.8319148979,22.8857178363,23.3748824915,22.3066779234,22.5216427207,19.6783093332,20.4624092424,21.4490745956,21.745347593,21.1913324273,23.7372654684,24.4145923341,26.2663651533,22.3215384161,20.0185983868,20.4344488886,23.5097993068,20.0378923591,24.2676670038,22.4669192311,22.2342344306,24.1094764111,22.3086220927,21.174262036,21.1565445672,18.5027157745,19.0105832147,22.2918754696,20.0688949345,22.7105783379,23.8914377259,23.5385361971,19.4963905177,26.3915191047,19.0448268568,18.8086006979,27.2125890828,23.0434766207,19.1831859913,19.9387948944,23.0112003497
chl a,0.8816234321,0.9592213814,0.7660626896,0.740681742,1.1178723317,0.9951042394,0.9402652704,0.888651627,0.9418985879,0.9341683178,0.883199536,0.7918264591,0.9536674883,0.9309285522,1.0472291144,0.9996332292,0.7712878923,0.9940342868,0.8902687809,0.7496097972,0.9357175321,0.8529870935,0.8912978094,0.6799645607,0.8877363461,0.9456323389,1.0145610071,0.8789899005,0.9026354132,0.8816574132,0.9096081309,0.8203779181,0.9223749093,1.0336053654,1.0192303878,0.8699734275,1.0269712405,0.9930537884,0.9132225444,0.983849303,0.896676492,0.83948824,0.9220756253,0.8350087421,1.0028933778,0.7973790548,0.9433240997,0.9043144135,1.0238789715,0.8650962459,0.9842262231,0.8584612969,0.8418301874,0.957136626,0.9319593708,0.9530781865,1.1171467959,0.9587956995,0.9700407243,1.1010179427,0.8418618257,0.8730996491,0.9783215783,0.9238997822,0.9387365504,0.7662077057,0.9849554784
chl b,0.2345870652,0.2386364398,0.2226086301,0.1918953397,0.2706687307,0.2981932791,0.2459463297,0.2599378483,0.2351289973,0.2735167117,0.2584944167,0.2421464108,0.2674401574,0.2521708586,0.3430174988,0.2213574771,0.1906978889,0.2975808584,0.2448627409,0.2007007931,0.2439787578,0.2747156591,0.2201118103,0.1597865733,0.2200354541,0.2095862702,0.344191861,0.2163256519,0.2522924306,0.2439033353,0.1940895447,0.20282081,0.2850171857,0.2629554051,0.2914950013,0.2277291006,0.2358670412,0.2284884612,0.2452127466,0.2417269829,0.2251417971,0.1922298645,0.227317299,0.2365937742,0.2561016321,0.1974346991,0.257497567,0.207603803,0.258314328,0.1991645343,0.2600520245,0.2314289118,0.1763295939,0.3274777759,0.2623585623,0.2430101488,0.283031302,0.2174474108,0.2946088125,0.2664153014,0.2540141639,0.1950271436,0.2479493012,0.2465088518,0.2857966358,0.2092449901,0.2299542523
glucose,0.8000698571,1.4605900529,1.228546556,1.8442326394,1.732458471,1.8438032038,1.6008527834,1.2551922257,1.7646174782,1.5093219073,1.0064878044,1.7197252303,1.7623492331,1.1880802806,1.6261238284,2.0036605774,1.3153963593,1.855284678,1.5568487244,1.2426310183,1.6095650871,0.878143387,1.2731169152,1.3862472778,1.3025542139,1.9581553649,1.0963221096,1.5315122866,1.8209416188,1.509999074,1.1959787977,1.623771309,1.2714383216,2.8058694242,1.2116447656,1.8748775704,1.7654820494,1.6489030477,1.6657765019,1.9052936886,1.2125448288,1.2345655166,1.894549793,2.3776736245,1.6599216412,1.0568013743,1.6800857662,1.4278658086,1.3208139782,1.2264195187,1.9645152085,2.0344718658,1.1160528758,2.538033788,2.2307322386,1.3265052973,1.9079358279,1.5760085201,2.5640531839,2.4226003027,0.994411471,1.2381988482,1.8434328459,2.3569713795,1.8619198034,1.6526565004,1.6996678953
fructose,0.7977068356,1.0095928444,0.8439058345,0.9119864846,1.0535871945,1.0984019306,1.0275768424,0.6333253698,1.1200205793,1.0114990052,0.6206369907,1.2015992049,0.8727453514,0.7612724926,1.059070904,1.1985640972,0.7437310858,1.2845992729,1.122604897,0.8705332235,1.2977204503,0.918271404,0.7345732806,0.7181542099,0.873632278,1.399752907,1.0975586322,0.7663680078,1.2105560102,0.8435520393,0.6970894265,0.9430351761,0.412047011,1.9266477264,1.0813233168,1.2842763125,1.2513538275,1.1974025285,0.9402704331,1.0896306377,0.7628953501,0.7426065242,1.1994119396,0.8987869661,0.9699568081,0.5257454409,0.707512173,1.3298842421,1.0134799209,1.3213863456,1.1005438343,1.0725946669,0.8362321613,1.6337721691,1.2824562932,1.089950448,1.6106792539,1.0636058333,1.2165199135,0.7822035424,0.6832360459,0.7155433774,1.2149059924,1.4753940692,1.3403617337,0.8811662563,1.0343876362
sucrose,2.937638592,2.568095814,2.7056032269,2.4020788267,2.8302902378,3.1268432527,2.5551766739,3.067698955,2.6334235891,2.8240508435,2.7346769997,3.7265691415,2.6397344861,2.4674861065,2.698816726,3.1133463379,2.6641691227,2.6854320282,2.6610200379,2.5021799611,2.6749403446,2.4814085602,2.3866011944,2.5949540996,2.3819413537,3.3715982855,3.0071926816,2.2504642509,2.3594569268,2.7135365861,2.3023570774,2.4915246991,2.536227975,2.7792452041,2.5023554462,2.5206611867,2.8914986322,2.40082871,2.7862879997,2.7059243771,2.3586228012,2.5911891916,2.8282299409,2.4469971437,2.6477281082,2.4324889257,2.6827854413,2.9952702042,2.4638278402,2.4212718837,3.385553403,2.4216675409,2.4544413083,2.4878412924,2.6438997196,2.4779334108,3.2024672479,2.8671600767,2.8860238056,3.2969066146,2.3734601164,2.1768161689,2.9937000087,2.6803888814,2.4387602042,2.4088420473,2.6454597714
xylose,1.0834245874,1.2557441073,1.2898667556,1.0779677476,1.4241585274,1.2251539381,1.0131964791,0.8571437459,0.7349462131,1.4729854772,0.9832104458,1.3142587195,1.187577011,0.8063179038,0.8123016023,1.2205280448,1.2048280051,1.1426722741,0.7236169601,1.4194348046,1.2931074839,0.9284867792,0.8160914926,1.2834140204,0.9889463157,1.1010281254,1.1280381556,1.186785946,1.5403736024,1.1557500082,1.2685209466,0.9836242164,0.8092911588,1.4234245056,1.1139232253,0.8602299659,1.6466963083,1.1585850514,1.0649427876,1.1647241684,0.8722456694,0.7777147301,0.8843188793,0.8298417019,1.0704678826,1.9003683034,0.8466695212,0.7900525147,0.8534945029,1.3873941534,0.7594423464,1.5781324793,1.5297698533,1.2084898359,2.2577611297,1.1605799168,1.0070058055,0.9806585399,1.2972573182,1.7711019336,1.1020400342,1.2020354106,1.4072073602,2.0076957854,0.9733182006,1.0943424227,1.1217004649
maltose,1.3612795656,1.1369265709,0.2158834123,0.6614214822,0.9680801179,1.4094403668,2.0541626482,1.0674093754,0.5381574316,1.6142432504,1.0572261683,1.8959828667,1.2705024927,0.3950231614,1.1490013752,1.2941151944,0.9804673504,0.7337270884,1.494537972,1.0259574129,1.3190496773,1.7947350228,0.7517074144,0.9826855502,0.8020260532,2.2658894587,0.5989629733,1.1167246201,0.3441546999,1.6655171458,0.7089782227,1.2227415004,0.2479830588,0.3694362237,0.992305939,0.8877235635,1.3016748147,1.155149747,0.2840443509,0.2764090601,1.1198396884,0.3627172199,1.4765788246,1.016803147,0.3570912653,0.7481031447,1.1765641152,0.289566983,0.9202012058,1.3398116711,1.5977431192,1.0241893479,1.1596235686,0.730470748,1.2352933834,1.1710491372,1.1621264336,0.9745317457,1.6063580592,0.548583289,0.6321346538,1.1102547486,0.3051056691,0.2265902944,0.5652774468,1.6918046437,1.2714410402
trehalose,0.1452957352,0.2538847583,0.7387413771,0.3187048042,0.4295066821,0.2609996412,0.2664019945,0.4701264894,0.2745620703,0.5908793347,0.3052387937,0.3450892834,0.6242264489,1.2437823878,0.2591275314,0.7412264576,0.215015844,0.1957803143,0.3489576948,0.4235136503,0.6272801705,0.401552773,0.8676831681,0.3410503184,0.4399068026,1.6222041156,0.2631316207,0.4260810929,0.2288601018,0.1752475478,0.1468936074,0.3171579396,0.2722397573,0.3732419898,0.2377226774,0.1913078711,0.4507987687,0.4797593077,0.4374058951,0.6942056576,0.1734624932,0.4294092121,0.1559035272,0.260692621,0.2989325652,0.4144164893,0.2601922786,0.4015053499,0.1641509225,0.1997161812,0.4088303753,0.3951122305,0.2447093102,0.3621668332,0.1585370972,0.3215240873,0.3846385018,0.4412243772,1.0851693314,0.287793771,1.0186766706,0.2362032995,0.2530820918,1.2851426717,0.2985273604,0.7237664414,0.9103739649
