id,ID,1,3,4,5,6,9,10,11,12,14,15,16,17,19,20,21,22,23,26,28,29,30,32,34,35,39,42,44,45,46,47,49,50,51,53,54,58,59,60,61,63,64,67,68,69,70,72,73,75,77,78,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,97
starch,starch,39.2782952253,51.3631619868,53.7151803988,55.7507001699,44.590526258,54.8561642682,59.9376760488,56.9090920162,52.5543665813,45.0172896786,55.8822331056,59.9037292077,50.8457887173,55.5586492462,55.7000866886,53.658283547,47.247507232,54.3453690975,48.8450102819,46.2035954364,44.3777203383,48.0304201574,52.8379910169,53.9895479143,59.4882440248,64.7279386932,50.9951725133,45.3341147042,53.6901414668,41.0019841043,53.2537461038,37.9423408469,54.2286903433,54.526588909,46.1114450493,52.2778338244,53.2254931543,52.0041413333,51.2107961473,49.5379900437,56.4765496881,54.3003855025,57.9822079091,44.4667882869,56.2472813033,48.6040669809,54.9095697231,55.4162871187,49.5528030029,53.3974458236,60.8345652811,45.3188935433,47.3741175122,45.0970023595,52.9325880991,55.3964523872,53.1040807,55.3745081462,61.5400143801,59.3394213357,72.2936417395,53.6086921456,49.1670455323,51.3474508755,58.7274987856,45.3039100508,57.4389750134
prot,prot,25.098902418,30.1786591477,30.4429233233,28.9830780186,29.9446240023,27.0629211084,28.414308736,33.6416673136,30.7468759826,26.9610636758,30.0299172186,28.5521554847,28.6381082914,35.482585823,30.7978963744,27.8625692967,28.8930333417,27.9251368134,29.6486608398,28.5957832599,27.1076528592,29.6320030433,32.1381358352,31.1040008491,30.3924724237,30.7583700123,27.9099635461,27.1747377616,29.3170635985,24.949157487,25.9426442221,25.8366339674,25.7327484149,26.1285062735,27.6317367915,31.7961241086,28.6055388954,28.9688242915,30.4330692275,30.0761715784,30.394078365,28.9920069324,27.3323912018,30.5111409425,29.74950822,30.2932728082,30.0268655659,33.9729965813,27.9090707087,28.4747724329,30.9649215344,26.7348257858,26.7527209435,25.4068078682,26.3273217999,31.4632786173,30.0894687222,28.2670009809,31.6185295689,30.1444011179,31.2955341993,28.2674264256,27.2465370847,29.3082547879,28.0011790748,24.9523295939,30.1219428487
chl a,chl a,0.7900187418,1.0757654862,1.0396484754,1.0095535952,0.9364006245,1.0659058173,1.1419369092,1.1693925227,1.0408521182,1.0824183793,1.0878285604,0.9981945989,0.9684165029,1.4110561136,1.2662754227,1.0388669037,1.0499805778,1.1784180288,1.046339602,1.0799694445,1.1369090069,0.9915999405,1.223380562,1.0572782665,1.1080729071,1.0486766486,1.2015601489,0.9824663078,0.8931021841,1.040497494,0.9033993973,0.9333740727,0.8974822992,1.0138296548,1.0485032652,1.1497568668,1.0384087232,1.0096045727,1.108043191,1.2310874644,1.1113734215,0.9966529837,0.9267383224,1.0215611173,1.05153725,1.0310818229,1.0918592378,1.2966019791,0.9766514987,1.0092193008,1.1970135531,1.0157057709,0.9244425096,0.8839148199,1.0386276595,1.0941598586,1.0662724391,1.2174935859,1.2043627041,1.0644863206,1.0842114354,1.0263832257,0.9379964907,0.9771297687,1.0777860499,0.8331317953,1.088766303
chl b,chl b,0.2206467544,0.2132206955,0.1938559064,0.1989848496,0.1933956042,0.3018352339,0.2430365827,0.2251603673,0.2414320629,0.2057391818,0.2882879424,0.2228257057,0.2441305138,0.3292635939,0.2414436112,0.239113957,0.203459664,0.3015585588,0.2230949053,0.2134182235,0.236778102,0.2186406766,0.2166871783,0.2170593874,0.2424450834,0.2154461536,0.2920177542,0.2525267806,0.1802092304,0.2103440632,0.2148174356,0.2276104779,0.1715956276,0.1891976532,0.2544816228,0.2109365611,0.1839377828,0.189597255,0.2112827559,0.2557199611,0.1770997894,0.1828464545,0.2020857896,0.1874487832,0.1586502626,0.2654941902,0.2111524158,0.2818199837,0.1990538947,0.2114044324,0.2458197892,0.1962378408,0.1857165802,0.1881932434,0.2114975194,0.2273820552,0.2202820055,0.2527651738,0.2506671656,0.3017098612,0.2125359763,0.2278613443,0.2074093539,0.1727908802,0.2526511174,0.2119726249,0.2403786547
glucose,glucose,1.3445764313,2.632183883,2.4674666728,1.742781592,3.2195557198,2.1338915629,1.829763191,2.2501823418,2.1882507186,1.8501509472,2.8564479902,1.2478721323,1.8080669878,3.0452205842,1.9537511925,1.7150961036,1.7963977987,2.7525925094,2.6174175646,2.3883954359,1.3472840944,1.911324802,2.422532522,3.0211850534,2.1438058393,3.76941634,1.6231386681,2.0669890288,2.6766791143,2.4136202883,1.885404926,2.4969833025,1.8027677612,2.5829176554,1.4210419407,1.8892330068,1.8698048659,2.7825449565,2.2760834705,1.8563997419,2.4348498069,1.9399588154,2.7018888663,2.0046842622,1.7069181002,1.6613968428,2.2085372483,1.724943343,2.2288059552,2.7050222568,2.621465563,2.4889890277,1.5229136102,3.4855144465,2.2614132469,1.637372024,2.6374104793,2.5594121833,3.1773955386,2.6011096124,2.5106830987,1.356112444,2.0345186248,3.5535849212,1.4948966757,3.0535130457,1.6472810443
fructose,fructose,1.0192764552,1.1104462715,1.5655273293,1.348178395,1.4725433105,1.4809703147,1.441598239,1.2343179116,1.6489330645,1.0851656848,1.7115761815,0.7489092953,1.1124194221,1.935357363,0.8855348429,1.2853736118,1.1938090317,1.2911037678,0.9326392843,1.5675842452,1.490187808,1.0708410245,1.1344705104,1.1157449068,1.6984280642,2.4414085212,0.7917416177,0.9305218602,1.661314265,1.0535242679,1.1430411419,1.8900471817,0.9094407046,1.8529860981,0.9606304856,0.944082903,1.090228306,1.3051036927,1.5531176869,1.2530947408,1.2899716894,1.257118768,1.4127448061,1.4294182352,1.0524656556,1.1844785463,1.3093137182,1.2443008367,1.2052806704,1.5426985069,1.7462898036,1.1197366162,0.9074940647,2.4980361518,1.401796181,0.9949685674,1.6337726072,1.4754244493,1.4999741009,1.5544629218,1.5061252672,1.03420751,1.314218222,1.8008745469,1.2165488091,1.937461015,0.9214528569
sucrose,sucrose,8.3537470142,9.5125984834,9.1792221054,8.232565138,10.9622736773,10.7644394213,7.4126376561,8.7570628112,9.7032532723,8.1669805605,10.9554839168,7.1454428799,6.8396303554,10.5158858205,7.2222541971,7.9627244638,7.4983989491,6.6417982271,8.4923574999,6.7586496899,8.0634973259,8.7639352183,7.6692994744,7.7243365437,9.1103793962,12.236141563,6.7157433298,6.1454980378,7.9255850133,8.1693027892,8.7954481761,10.3392398722,6.7930024351,5.9947230062,6.8238316249,7.3582031238,7.118160494,8.0090303037,6.9904938263,8.6609314148,8.4805793735,8.4081496909,9.7677650321,6.4801854156,6.0956061242,10.9256550864,7.0996046618,7.6790137652,8.848272221,11.2140445992,9.8030392727,7.1032480251,6.2612086295,9.9058779192,6.5087602654,7.1868004845,9.6637078921,7.1794250633,8.7732905406,9.0286788042,8.8905152705,5.8342270583,9.5807754786,9.8631966574,7.7787973161,7.6490705728,6.9359754073
xylose,Xylose,0.7779082096,0.9763751353,0.8941939206,1.0057551095,0.800493789,1.1083202497,0.7688621419,0.8163579407,0.8206610733,0.8436326459,0.7408461707,0.7843753821,0.784735975,0.8474354279,0.7573941075,1.0803489632,0.8351046654,0.9786273958,0.6118052977,0.673838418,0.8004369751,1.014010041,0.7427060659,0.8427176727,0.7595997461,0.9940356336,1.0612762851,0.9964137403,0.8960930912,0.7894697928,0.8362364839,0.9739283813,1.1066804329,1.0857066994,0.6879027858,0.8249319036,0.8996922054,0.8801396818,0.989543932,12.2749331608,0.9101963293,0.9216127226,0.5053043442,0.9096128601,0.8729195954,0.8505491272,0.7497975268,0.7263064391,0.768707979,0.9594403294,1.0406827865,1.0836528704,1.1675473441,0.7450352381,1.1429551366,0.7041562934,1.1344292872,1.0445897224,1.1834756101,0.8841450407,1.5045521473,0.9963315814,0.806460538,1.1794775582,0.7768389635,0.7009685734,1.1024296465
maltose,Maltose,2.2070116303,1.0635815926,1.6009334462,2.8191987682,8.4736355089,9.3688620231,1.0151827942,1.7755621488,3.6136325975,1.0540665793,2.3646981222,0.9111191028,1.4796920759,1.9111370807,2.2455436709,1.9068813233,1.9517203976,1.4006322322,1.4408020568,2.8762755653,0.9016768185,0.7910131894,1.0102597617,1.837913386,1.1160205281,3.4010560804,1.0241057189,2.4768519286,2.9008106148,5.7331936362,2.4463272108,1.3426563561,1.2190490962,0.7286333954,1.3411243163,0.7371764422,1.1113150674,0.9460093775,1.5858928538,1.6168012978,1.2975459256,0.8680533244,1.1239410046,1.7918699848,1.0004939503,2.4556366284,2.3569247575,1.8908807109,2.882532899,2.261009553,2.8508972475,1.4749425438,1.0825455635,2.0717895435,1.0676230096,1.2280179804,2.4912491827,1.5120538025,1.4177308592,3.8584917969,5.2861183481,1.1169500239,1.0220979164,1.7647473535,1.442459869,0.9815301075,1.4585659077
