id,ID ID,1 1,3 3,4 4,5 5,6 6,9 9,10 10,11 11,12 12,14 14,15 15,16 16,17 17,19 19,20 20,21 21,22 22,23 23,26 26,28 28,29 29,30 30,32 32,34 34,35 35,39 39,42 42,44 44,45 45,46 46,47 47,49 49,50 50,51 51,53 53,54 54,58 58,59 59,60 60,61 61,63 63,64 64,67 67,68 68,69 69,70 70,72 72,73 73,75 75,77 77,78 78,80 80,81 81,82 82,83 83,84 84,85 85,86 86,87 87,88 88,89 89,90 90,91 91,92 92,93 93,94 94,97 97
proline,Proline,5.054820775,9.657156548,3.818905624,3.549555201,2.363128055,3.22596384,1.539431194,6.019273873,10.15226844,4.892424092,2.169893931,2.796586125,6.073477911,9.755775898,3.845166637,5.624796704,6.934650938,3.037769976,14.67063602,4.280322892,11.81147863,6.931549125,9.363703598,11.05253737,1.984350628,9.269475405,6.706469012,6.133664284,7.956041878,3.490853182,9.278325453,3.286377906,4.436772457,5.23916169,4.042294235,10.46917124,1.190849561,1.686705849,9.292834885,6.133664284,7.116579044,6.640621708,5.575034233,5.89981175,4.26663729,5.437972119,6.133664284,5.113114944,5.02341214,7.30404299,7.706101865,2.303193427,5.092921594,2.028195879,6.79160535,8.852047219,6.799229595,6.874274603,4.12221967,19.13632255,4.259169119,5.422572443,4.638252859,4.934525386,3.831079529,2.80291397,2.415333056
arginine,Arginine,1.47574448,1.604385435,2.52329593,0.922546753,2.836701858,3.782216739,2.243658394,1.747920297,1.663167019,2.629668849,1.977426359,1.380538848,2.642840246,1.247992714,1.300683623,1.567222967,1.523826962,0.888513204,1.443800404,1.793326758,0.759248296,1.552262303,1.054758058,3.365495694,1.2119342,0.261575434,1.867494016,1.867494016,2.007287001,12.61129096,5.884079769,1.113064538,0.194673914,0.998908406,1.886786614,1.867494016,0.503632011,1.279498153,2.053094417,1.867494016,2.640249029,2.465731342,1.402538334,0.833945308,0.768538686,1.684048777,1.867494016,1.867494016,1.867494016,1.885905176,1.867494016,1.324746405,1.721884212,0.843799208,0.452037314,0.546269728,1.039267604,1.096506372,2.739846106,3.15211801,1.726093041,1.165954677,0.567065932,1.867494016,5.982620224,1.867494016,1.867494016
"serine, dl","Serine, DL",5.450383577,6.395268682,2.566310247,3.244186723,2.951199407,2.530014264,4.308399536,4.823785732,5.180039421,6.678880653,5.28535187,4.787409933,4.883288634,6.096255984,3.819925183,4.784182558,5.030415454,2.67070964,5.618416825,6.032586305,7.113626628,6.361544384,4.444862822,6.663178124,3.178413196,7.784363164,5.599503058,5.052967977,4.975013863,3.753749246,11.02514663,2.974625684,4.257282455,4.052197485,4.093573564,5.673157789,4.995908009,6.803236554,6.256565214,5.052967977,5.12540845,5.219250129,3.957047792,4.010494627,3.484210658,5.024892901,5.052967977,5.344119262,4.929690137,5.379156226,4.738941899,3.862039327,3.685451235,4.23332779,4.014959732,5.7658118,4.243662298,6.09303989,6.619973279,5.657477895,3.148007023,4.874860735,2.505051862,6.457527973,5.496067641,3.541757236,5.478807463
threonine,Threonine,1.964080474,2.876344394,1.880924222,1.734311109,2.271511973,1.563189351,2.018511227,2.253066088,2.61803184,2.521008443,2.949941834,1.959587645,2.198590771,2.475209667,2.232618022,2.122043185,1.605258717,1.881958106,2.653034836,2.41576656,2.836483512,2.260041028,2.750914521,2.834135065,2.157344982,2.403450134,2.296545997,2.343260993,2.150506111,3.304446931,2.604039704,2.316202595,1.799506288,2.187644466,2.2333587,3.075127131,1.877561232,2.025970359,2.504224734,2.343260993,3.116310303,2.69684846,1.952315388,2.565742035,2.829513134,2.481610522,2.343260993,2.405950489,1.989682017,2.486413742,2.404978896,1.806977094,1.495741469,2.47011261,1.906203472,3.849649416,2.230325907,2.5019037,3.163565376,2.486422587,1.453790113,1.721674798,1.036879543,1.92482161,2.377495133,1.64102671,2.289828037
valine,Valine,0.798525942,1.070853902,0.948562796,0.792531504,0.949664939,1.032720408,0.834537498,0.932740688,1.079970454,1.111344006,0.915287397,0.853787006,0.815649752,1.129568285,0.990111703,0.995262452,1.444068143,1.08890312,0.912972135,0.850302563,0.994552021,0.981662422,0.842950167,1.421372435,1.067929099,0.785719264,1.260760339,1.057024657,0.846580254,2.018313531,0.978740869,1.228863415,0.813584897,1.120218414,1.217007079,1.328827438,1.084832996,0.846009327,0.809945938,1.057024657,0.985778554,1.194239172,0.926769866,1.160501107,0.879466087,1.049356149,1.057024657,1.409143239,1.363356055,1.08839586,1.425943056,0.615252671,1.132883403,0.964096967,0.948996305,1.104850624,1.02135962,0.801198314,1.135755076,1.291355404,0.899232665,1.055892039,0.989142617,1.071681596,0.869194128,1.02797033,0.953472153
tryptophan,Tryptophan,0.498169851,0.779683456,0.6255741,0.551243174,0.87915972,0.745600227,0.876392928,0.748512933,0.71803281,1.566515016,1.062883587,0.443612001,0.634550525,0.586703597,0.728422146,0.586209896,0.554149982,0.618410958,0.611828851,0.67432884,0.987313927,0.557840848,0.608511379,1.40531128,0.663123122,0.935183854,0.734089578,0.734089578,0.456788002,0.981263352,1.422732547,0.611651795,0.594386989,0.826018688,0.559095169,0.734089578,1.027054581,0.467021668,0.747550455,0.734089578,0.85532152,0.916624012,0.67670081,0.604489382,0.801615719,0.811238516,0.734089578,0.734089578,0.734089578,0.753758937,0.734089578,1.437854348,0.941867387,0.836592269,0.515594786,0.367945446,0.650866415,0.582527593,1.267183665,0.781009745,0.386909754,0.664499967,0.483699969,0.734089578,0.688612354,0.734089578,0.734089578
tyrosine,Tyrosine,1.38946162,1.521542737,1.580577903,1.112161734,1.760217274,1.642623676,2.748363577,2.208319212,1.800981015,2.94868076,1.550828924,1.401689274,1.18239538,1.876115515,1.462984327,1.428236221,1.781803677,1.733490185,1.439655994,1.60282441,1.956025914,5.22053862,0.339372207,3.766768306,2.035472518,0.233058156,1.807524804,1.799567433,1.541115511,5.47008889,2.481375749,1.825493368,1.102047968,1.573644158,1.4881511,1.757595016,3.060190531,1.905688033,1.341828251,1.799567433,1.951172525,2.134248965,1.654573669,1.362539834,1.314730904,2.130551487,1.799567433,1.613495957,2.233421686,2.483557469,2.841933615,1.738735325,2.256075439,1.437839012,1.126333553,1.908627218,2.245704412,1.576594371,1.759173213,1.308260199,1.31710054,1.95427235,1.664097133,1.964847804,1.95958602,1.254962924,2.028313996
"alanine, beta","Alanine, beta",0.340428753,0.490246131,0.471647173,0.307820733,0.30558919,0.546371666,0.50428868,0.439125154,0.685530494,0.581527617,0.327993888,0.352924051,0.345512095,0.381476214,0.543384159,0.475070387,0.53196135,0.532306687,0.540983974,0.357402691,0.578596073,0.49401289,0.423195986,0.956014503,0.405757064,0.464872917,0.485646963,0.493769239,0.432985728,0.877731201,0.313807508,0.487468027,0.335857159,0.550419357,0.491596544,0.552635176,0.399135185,0.462261341,0.409829003,0.493769239,0.610995405,0.709096135,0.486949411,0.539620438,0.318597205,0.584043088,0.493769239,0.505003495,0.582563606,0.495630828,0.599234533,0.464108237,0.490070254,0.365203885,0.460340419,0.432033456,0.472828778,0.43544408,0.643780558,0.480905877,0.425458757,0.603974665,0.437548286,0.596339175,0.431103776,0.406403727,0.391425112
putrescine,Putrescine,0.891591256,0.749930159,1.195783537,0.209772697,0.71507989,1.211964261,0.875101758,1.003432504,1.388115225,0.746728206,1.453701777,0.737589871,0.850980191,0.9164028,0.854320777,0.487885095,0.705678612,0.653383583,1.444236986,1.180903703,1.452445383,0.835944162,1.160697683,1.149623581,0.863797182,0.438032497,0.773153604,1.042953237,0.885597365,2.510107282,0.899929831,0.637842663,0.504903699,1.043213105,0.62363816,1.824091803,1.527765521,0.628794177,0.872967251,1.042953237,1.047450061,1.203798864,0.700989807,0.603908623,0.423291484,0.70693755,1.042953237,1.61391544,2.146783453,1.239933336,2.219510658,1.532943809,1.097446948,0.827994973,0.561036835,0.52205402,0.718567671,0.386794538,0.870105239,1.289404048,1.145848211,0.907596022,0.360939789,1.327729668,1.809430233,1.179685245,3.442313077
spermidine,Spermidine,13,12,17,10,20,17,12,16,16,17,15,10,18,16,17,11,13,15,10,12,15,18,12,12,15,18,10,17,17,16,18,17,20,12,17,10,13,12,15,15,16,14,20,13,13,15,19,14,15,14,19,11,20,15,12,10,15,19,19,17,11,13,18,17,16,15,18
