"ID","fcln2fcln","fcln.opt2ln","fclc2fclc","fclc.opt2lc","fcln2fclc","fcln.opt2lc","fclc2fcln","fclc.opt2ln"
144,0.131812238972186,0.393561858746901,0.124608397949705,0.4688853871892,0.0983812924704628,0.479132126421439,0.100478022376384,0.376691247059412
145,0.131841773578697,0.393553603923151,0.124656006771247,0.468877946202807,0.0983775961336269,0.479121628845352,0.100478699240547,0.376673382770853
146,0.156339000118286,0.350371137938272,0.0633330005297772,0.532330488503367,0.131362539666211,0.539322687343027,0.120849130896715,0.353134148557156
147,0.156339000118286,0.350371137938272,0.0633330005297772,0.532330488503367,0.131362539666211,0.539322687343027,0.120849130896715,0.353134148557156
148,0.156339000118286,0.350371137938272,0.0633330005297772,0.532330488503367,0.131362539666211,0.539322687343027,0.120849130896715,0.353134148557156
149,0.156339000118286,0.350371137938272,0.0633330005297772,0.532330488503367,0.131362539666211,0.539322687343027,0.120849130896715,0.353134148557156
150,0.156339000118286,0.350371137938272,0.0633330005297772,0.532330488503367,0.131362539666211,0.539322687343027,0.120849130896715,0.353134148557156
151,0.156339000118286,0.350371137938272,0.0633330005297772,0.532330488503367,0.131362539666211,0.539322687343027,0.120849130896715,0.353134148557156
152,0.156339000118286,0.350371137938272,0.0633330005297772,0.532330488503367,0.131362539666211,0.539322687343027,0.120849130896715,0.353134148557156
153,0.156339000118286,0.350371137938272,0.0633330005297772,0.532330488503367,0.131362539666211,0.539322687343027,0.120849130896715,0.353134148557156
154,0.156339000118286,0.350371137938272,0.0633330005297772,0.532330488503367,0.131362539666211,0.539322687343027,0.120849130896715,0.353134148557156
155,0.156339000118286,0.350371137938272,0.0633330005297772,0.532330488503367,0.131362539666211,0.539322687343027,0.120849130896715,0.353134148557156
156,0.157751436154684,0.350467985046774,0.0661764430975374,0.531904209162032,0.13186914622009,0.539093047543509,0.121516552407101,0.352843041350999
157,0.157668641770472,0.350563542184694,0.0639071434588084,0.532129710657255,0.131188520004918,0.539211313983988,0.121031920367505,0.353064209213953
158,0.157751436154684,0.350467985046774,0.0661764430975374,0.531904209162032,0.13186914622009,0.539093047543509,0.121516552407101,0.352843041350999
159,0.157751436154684,0.350467985046774,0.0661764430975374,0.531904209162032,0.13186914622009,0.539093047543509,0.121516552407101,0.352843041350999
160,0.157751436154684,0.350467985046774,0.0661764430975374,0.531904209162032,0.13186914622009,0.539093047543509,0.121516552407101,0.352843041350999
161,0.157751436154684,0.350467985046774,0.0661764430975374,0.531904209162032,0.13186914622009,0.539093047543509,0.121516552407101,0.352843041350999
162,0.157751436154684,0.350467985046774,0.0661764430975374,0.531904209162032,0.13186914622009,0.539093047543509,0.121516552407101,0.352843041350999
163,0.157647466407803,0.350578837155897,0.0632390254587205,0.532187911727965,0.130992999980742,0.539240005271606,0.120895704781921,0.353113350046256
164,0.157647466407803,0.350578837155897,0.0632390254587205,0.532187911727965,0.130992999980742,0.539240005271606,0.120895704781921,0.353113350046256
165,0.157647466407803,0.350578837155897,0.0632390254587205,0.532187911727965,0.130992999980742,0.539240005271606,0.120895704781921,0.353113350046256
166,0.157647466407803,0.350578837155897,0.0632390254587205,0.532187911727965,0.130992999980742,0.539240005271606,0.120895704781921,0.353113350046256
167,0.157719208260845,0.350581433703957,0.0633549718623379,0.532252182329147,0.131145797041441,0.539320482143649,0.120996004642823,0.353112212467949
168,0.157719208260845,0.350581433703957,0.0633549718623379,0.532252182329147,0.131145797041441,0.539320482143649,0.120996004642823,0.353112212467949
169,0.157719208260845,0.350581433703957,0.0633549718623379,0.532252182329147,0.131145797041441,0.539320482143649,0.120996004642823,0.353112212467949
170,0.157719208260845,0.350581433703957,0.0633549718623379,0.532252182329147,0.131145797041441,0.539320482143649,0.120996004642823,0.353112212467949
171,0.157719208260845,0.350581433703957,0.0633549718623379,0.532252182329147,0.131145797041441,0.539320482143649,0.120996004642823,0.353112212467949
172,0.157719208260845,0.350581433703957,0.0633549718623379,0.532252182329147,0.131145797041441,0.539320482143649,0.120996004642823,0.353112212467949
173,0.147470553291745,0.360565965040403,0.0860976358511991,0.503506696623549,0.119968708273075,0.513445021461541,0.108430079281367,0.355693961188019
174,0.147470553291745,0.360565965040403,0.0860976358511991,0.503506696623549,0.119968708273075,0.513445021461541,0.108430079281367,0.355693961188019
175,0.15522698342513,0.349552338539939,0.0622563099003629,0.53252551861871,0.131581548696061,0.539714630737993,0.120049667330752,0.352302639736486
176,0.15522698342513,0.349552338539939,0.0622563099003629,0.53252551861871,0.131581548696061,0.539714630737993,0.120049667330752,0.352302639736486
177,0.15522698342513,0.349552338539939,0.0622563099003629,0.53252551861871,0.131581548696061,0.539714630737993,0.120049667330752,0.352302639736486
178,0.15522698342513,0.349552338539939,0.0622563099003629,0.53252551861871,0.131581548696061,0.539714630737993,0.120049667330752,0.352302639736486
179,0.15522698342513,0.349552338539939,0.0622563099003629,0.53252551861871,0.131581548696061,0.539714630737993,0.120049667330752,0.352302639736486
