NR,145,146,0,0,0,0
AGPase,21,0,0,0,0,0
GS,190,191,192,0,0,0
NADMDH,112,113,114,115,116,117
GOGAT,178,181,182,0,0,0
PEPCx,53,54,0,0,0,0
NADGlDH,179,183,184,185,0,0
Fumarase,79,165,0,0,0,0
